rank,village_id,state,latitude,longitude,population,growth_score,ntl_2019,ntl_2024,ntl_growth_abs,ntl_growth_pct,ndbi_2020,ndbi_2025,ndbi_delta,built_area_ha_2025,built_growth_pct,ndvi_2019,ndvi_2024,ndvi_trend,road_connected,road_type_label,dist_to_town_km,has_telecom_tower,antyodaya_score,ntl_norm,builtup_norm,ndvi_norm,road_norm,digital_norm,primary_growth_driver
88,BI150182,Bihar,24.46579,84.71904,2458,98.31,7.4068,16.1634,8.7566,116.65,0.135,0.2775,0.1426,152.6,115.29,0.3668,0.5604,0.03874,1,Black-Top,10.3,1,14.4,0.8015738140016365,0.8181894199988993,0.7713575949997671,0.9657555053548446,0.9426086956521738,Road-Driven
89,KA240088,Karnataka,14.31566,77.81971,1020,98.29,10.0391,18.0265,7.9874,78.78,-0.122,0.0493,0.1713,121.3,108.21,0.4466,0.6279,0.03626,1,Black-Top,7.7,1,26.7,0.7279800985125321,0.9038820400704123,0.7384123863357086,0.9801160998834582,0.9652173913043476,Road-Driven
90,PU110142,Punjab,31.97143,76.47224,1921,98.27,9.5905,19.4599,9.8694,101.85,-0.1091,0.0403,0.1494,105.2,98.22,0.6604,0.8047,0.02886,1,WBM,3.7,1,33.4,0.8997115369841628,0.8018227727959164,0.6401081346768245,0.869649988124893,0.9999999999999999,NTL-Led (Electrification)
91,TE180033,Telangana,16.03038,80.05805,1962,98.25,8.1156,18.5744,10.4588,127.3,-0.1361,-0.0328,0.1033,144.2,53.42,0.4143,0.6757,0.05227,1,Black-Top,11.0,1,22.1,0.9556756568845423,0.5303556041234421,0.9510949632355379,0.961889191443295,0.9365217391304346,Road-Driven
92,TE040146,Telangana,19.60416,80.01054,2692,98.23,6.6757,17.6891,11.0134,162.54,0.1044,0.2124,0.108,229.5,28.94,0.4415,0.6995,0.05158,1,Black-Top,12.1,1,38.5,1.0,0.48883149047744623,0.9419287559862635,0.9558135552965739,0.9269565217391302,NTL-Led (Electrification)
93,RA110284,Rajasthan,25.32791,77.8231,845,98.21,6.8756,18.5307,11.655,167.08,-0.148,-0.053,0.0949,110.4,101.29,0.6318,0.8075,0.03514,1,Black-Top,11.6,1,41.6,1.0,0.6143805891087705,0.7235339050035532,0.9585752080905379,0.9313043478260867,NTL-Led (Electrification)
94,HI160014,Himachal Pradesh,31.25887,77.52832,3379,98.19,7.4817,16.4052,8.9236,117.7,-0.1432,-0.0156,0.1276,135.3,194.02,0.3296,0.5871,0.05151,0,Black-Top,9.7,1,18.4,0.8166931045757924,0.9521481641362686,0.9409988509030038,0.5272050416733406,0.9478260869565216,Construction Boom
95,KA290254,Karnataka,13.19669,76.83067,1839,98.17,8.6068,19.7458,11.1391,127.94,-0.0625,0.0559,0.1185,141.7,40.19,0.2871,0.505,0.04357,1,Black-Top,12.8,1,29.9,1.0,0.5531545580874225,0.8355210457446873,0.9519472413850241,0.920869565217391,NTL-Led (Electrification)
96,RA040355,Rajasthan,24.14973,74.56523,1013,98.16,9.9733,21.3157,11.3424,112.6,0.0327,0.1255,0.0929,126.6,44.81,0.4004,0.6455,0.04903,1,Black-Top,8.6,1,36.5,1.0,0.47267925349983,0.9080536422389454,0.9751451248543228,0.9573913043478259,NTL-Led (Electrification)
97,UT250016,Uttarakhand,29.99838,78.93393,3778,98.14,7.9625,19.5905,11.6279,144.22,0.07,0.1739,0.1039,117.1,118.38,0.2165,0.3541,0.02752,1,Black-Top,13.9,1,41.0,1.0,0.6872562423750362,0.622307094511567,0.9458716052383029,0.9113043478260867,NTL-Led (Electrification)
98,UT170001,Uttarakhand,30.03497,77.71681,1306,98.12,7.4375,16.5365,9.099,120.72,-0.0905,0.031,0.1214,173.3,79.46,0.3259,0.5667,0.04816,1,Black-Top,6.4,1,20.5,0.832802391452785,0.6570720473150955,0.8964962504898604,0.9872963971477648,0.9765217391304346,Road-Driven
99,UT260240,Uttar Pradesh,26.91348,80.39417,2428,98.1,10.4312,17.5529,7.1217,67.62,-0.1199,0.045,0.1649,163.1,247.73,0.6076,0.7636,0.0312,1,Black-Top,5.0,1,27.5,0.6489198556752976,1.0,0.6711935331743635,0.9950290249708644,0.9886956521739128,Construction Boom
100,WE220110,West Bengal,26.69356,86.91521,2034,98.08,7.323,17.1046,9.7817,131.78,0.1549,0.2871,0.1322,129.6,127.25,0.4355,0.5606,0.02501,1,Black-Top,12.0,1,22.2,0.8954205554273091,0.8095177175507396,0.5889633550975402,0.9563658858553665,0.9278260869565216,Road-Driven
